"date","geography","geography code","Household deprivation: Total: All households; measures: Value","Household deprivation: Household is not deprived in any dimension; measures: Value","Household deprivation: Household is deprived in one dimension; measures: Value","Household deprivation: Household is deprived in two dimensions; measures: Value","Household deprivation: Household is deprived in three dimensions; measures: Value","Household deprivation: Household is deprived in four dimensions; measures: Value"
"2021","Hartlepool","E06000001",40930,17262,13735,7570,2278,85
"2021","Middlesbrough","E06000002",60262,25407,20394,10816,3517,128
"2021","Redcar and Cleveland","E06000003",61638,27192,21064,10307,2969,106
"2021","Stockton-on-Tees","E06000004",83757,40497,27187,12617,3324,132
"2021","Darlington","E06000005",48917,23775,16384,6944,1738,76
"2021","County Durham","E06000047",234761,104412,79207,39903,10931,308
"2021","Northumberland","E06000057",146921,71280,49905,20510,5035,191
"2021","Newcastle upon Tyne","E08000021",122797,56768,40169,19418,6149,293
"2021","North Tyneside","E08000022",96236,47576,31265,13730,3546,119
"2021","South Tyneside","E08000023",68287,29586,23302,11971,3323,105
"2021","Sunderland","E08000024",122177,50665,42435,22163,6645,269
"2021","Gateshead","E08000037",88999,39877,29733,14850,4376,163
"2021","Halton","E06000006",55949,24183,18732,9843,3088,103
"2021","Warrington","E06000007",90538,46997,29036,11560,2824,121
"2021","Blackburn with Darwen","E06000008",58767,24187,19982,10718,3692,188
"2021","Blackpool","E06000009",64789,24769,22750,12785,4183,302
"2021","Cheshire East","E06000049",174856,95796,55229,19584,4086,161
"2021","Cheshire West and Chester","E06000050",155156,80756,49835,19598,4721,246
"2021","Allerdale","E07000026",43973,21136,14953,6232,1602,50
"2021","Barrow-in-Furness","E07000027",31259,14599,10261,4943,1397,59
"2021","Carlisle","E07000028",50662,24765,17046,6974,1811,66
"2021","Copeland","E07000029",30791,14486,10219,4677,1362,47
"2021","Eden","E07000030",24613,12769,8560,2730,532,22
"2021","South Lakeland","E07000031",47657,26245,15748,4838,793,33
"2021","Burnley","E07000117",39872,16305,13669,7316,2440,142
"2021","Chorley","E07000118",50132,26340,16325,6015,1406,46
"2021","Fylde","E07000119",37604,19108,12754,4648,1030,64
"2021","Hyndburn","E07000120",34790,14766,11847,6092,1985,100
"2021","Lancaster","E07000121",59979,29026,20314,8383,2132,124
"2021","Pendle","E07000122",38066,16180,13333,6450,1999,104
"2021","Preston","E07000123",59607,27785,20032,8931,2700,159
"2021","Ribble Valley","E07000124",26747,15673,8156,2455,436,27
"2021","Rossendale","E07000125",30561,14666,10071,4496,1270,58
"2021","South Ribble","E07000126",48588,25461,16043,5871,1158,55
"2021","West Lancashire","E07000127",48533,23639,16442,6818,1567,67
"2021","Wyre","E07000128",50767,23366,17707,7793,1813,88
