date,geography,geography code,Accommodation type: Total: All households,Accommodation type: Detached,Accommodation type: Semi-detached,Accommodation type: Terraced,Accommodation type: In a purpose-built block of flats or tenement,"Accommodation type: Part of a converted or shared house, including bedsits","Accommodation type: Part of another converted building, for example, former school, church or warehouse","Accommodation type: In a commercial building, for example, in an office building, hotel or over a shop",Accommodation type: A caravan or other mobile or temporary structure
2021,North East,E12000001,1175680,207943,470849,326453,133229,24511,4982,6299,1414
2021,North West,E12000002,3153404,599838,1160271,886330,394015,59053,22246,22714,8937
2021,Yorkshire and The Humber,E12000003,2330658,504504,877373,607775,257824,39602,20729,17066,5785
2021,East Midlands,E12000004,2037331,676024,727740,392641,180578,24983,12543,13204,9618
2021,West Midlands,E12000005,2429493,595850,913115,523411,318415,36940,13671,18368,9723
2021,East,E12000006,2628782,776812,816068,557954,381093,45269,17147,18298,16141
2021,London,E12000007,3423890,208078,636084,727673,1380137,378564,41112,47836,4406
2021,South East,E12000008,3807965,1065035,1082651,812592,640091,118927,30739,32687,25243
2021,South West,E12000009,2448880,734775,694153,546603,314386,93304,25536,21495,18628
2021,Wales,W92000004,1347113,384395,431871,358035,126662,24451,6842,10489,4368
