date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications
2021,North East,E12000001,2178960,442379,208919,301648,144765,404417,622419,54413
2021,North West,E12000002,6025635,1174699,583083,819133,353909,1061950,1880049,152812
2021,Yorkshire and The Humber,E12000003,4460299,919640,449065,607396,273719,777070,1315456,117953
2021,East Midlands,E12000004,3998045,778906,415084,556046,239223,731371,1163784,113631
2021,West Midlands,E12000005,4801326,1015300,494710,666695,253185,818973,1413723,138740
2021,East,E12000006,5148281,932209,554976,742611,284157,863162,1625376,145790
2021,London,E12000007,7103985,1151250,545269,707518,227622,937875,3316829,217622
2021,South East,E12000008,7554580,1162221,739122,1046800,386759,1313552,2702048,204078
2021,South West,E12000009,4735840,741183,465970,678280,283597,876607,1566774,123429
2021,Wales,W92000004,2559416,509682,223025,367360,143316,440652,806773,68608
