date,geography,geography code,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: No qualifications,Highest level of qualification: Level 1 and entry level qualifications,Highest level of qualification: Level 2 qualifications,Highest level of qualification: Apprenticeship,Highest level of qualification: Level 3 qualifications,Highest level of qualification: Level 4 qualifications and above,Highest level of qualification: Other qualifications
2021,Hartlepool,E06000001,74686,17286,7076,10963,5205,13776,18526,1854
2021,Middlesbrough,E06000002,113939,27282,11221,15270,7040,19976,30127,3023
2021,Redcar and Cleveland,E06000003,112342,24732,10983,15663,8692,21300,28003,2969
2021,Stockton-on-Tees,E06000004,158010,29441,15324,23005,10565,29004,46648,4023
2021,Darlington,E06000005,88107,16972,8276,12733,6215,16141,25517,2253
2021,Halton,E06000006,103948,21865,12338,17403,5718,19057,24876,2691
2021,Warrington,E06000007,172717,28453,17238,25489,10298,29830,56955,4454
2021,Blackburn with Darwen,E06000008,119508,28923,12968,16574,6550,18823,32054,3616
2021,Blackpool,E06000009,116340,28575,13677,17470,7889,19382,26177,3170
2021,"Kingston upon Hull, City of",E06000010,213880,54010,24163,30143,14691,37418,46511,6944
2021,East Riding of Yorkshire,E06000011,288140,52477,28930,40565,20621,49602,87851,8094
2021,North East Lincolnshire,E06000012,127523,30907,15531,20513,8313,20885,27537,3837
2021,North Lincolnshire,E06000013,139467,30466,16292,21104,9922,23954,33361,4368
2021,York,E06000014,172083,22953,12802,19552,9032,37410,66749,3585
2021,Derby,E06000015,209189,42141,21586,27706,13064,36230,62097,6365
2021,Leicester,E06000016,291013,77692,31152,33954,11024,46860,77900,12431
2021,Rutland,E06000017,34300,4491,2953,5278,1936,5835,13012,795
2021,Nottingham,E06000018,264322,51554,23096,29844,10835,66236,75673,7084
2021,"Herefordshire, County of",E06000019,157133,28315,14982,22184,9258,26573,51420,4401
2021,Telford and Wrekin,E06000020,148673,29666,16732,23218,8212,27765,38803,4277
2021,Stoke-on-Trent,E06000021,205898,53354,22574,30443,14144,34678,44948,5757
2021,Bath and North East Somerset,E06000022,161618,19805,11972,19147,7608,35318,64251,3517
2021,"Bristol, City of",E06000023,389708,56657,29350,41789,15282,73981,164106,8543
2021,North Somerset,E06000024,178567,26615,17219,26482,10668,32377,60489,4717
2021,South Gloucestershire,E06000025,237364,33792,23996,33959,15142,46440,78233,5802
2021,Plymouth,E06000026,218624,37894,21388,30727,15836,47362,60155,5262
2021,Torbay,E06000027,117032,23137,13696,18096,8688,20227,29628,3560
2021,Swindon,E06000030,187151,32430,24335,30268,10948,30591,52220,6359
2021,Peterborough,E06000031,167573,37471,20666,24191,9286,25727,43956,6276
2021,Luton,E06000032,172698,39478,19650,21943,8349,24832,51546,6900
2021,Southend-on-Sea,E06000033,146410,28823,17593,23151,7432,25291,39832,4288
2021,Thurrock,E06000034,136363,29443,16640,21251,6757,22151,35723,4398
2021,Medway,E06000035,222758,43158,26898,35426,13625,40009,57001,6641
2021,Bracknell Forest,E06000036,99933,13183,10581,14929,5171,17874,35578,2617
2021,West Berkshire,E06000037,130736,18484,12985,18954,6788,22048,48376,3101
2021,Reading,E06000038,141362,22361,12932,15070,5853,23734,57149,4263
2021,Slough,E06000039,118934,23966,12764,14336,5004,16181,41423,5260
2021,Windsor and Maidenhead,E06000040,123675,15552,10077,15918,5060,18341,55603,3124
2021,Wokingham,E06000041,140821,14671,11396,17773,5746,22992,65047,3196
2021,Milton Keynes,E06000042,224831,35577,24422,32011,10477,35371,80545,6428
2021,Brighton and Hove,E06000043,235367,29215,16545,25067,8052,46359,104790,5339
2021,Portsmouth,E06000044,170821,29766,16434,22404,9093,37296,51190,4638
2021,Southampton,E06000045,204368,35381,19470,25671,11096,41992,64663,6095
2021,Isle of Wight,E06000046,119586,22064,13355,17501,8926,21444,32783,3513
2021,County Durham,E06000047,433958,90804,41359,61724,27061,86414,116019,10577
2021,Cheshire East,E06000049,329473,49524,28571,45115,19394,55373,123785,7711
2021,Cheshire West and Chester,E06000050,295358,46771,27467,40467,15914,52461,105387,6891
2021,Shropshire,E06000051,272246,45573,26154,40900,16564,47417,88502,7136
2021,Cornwall,E06000052,477425,77919,47676,72367,31455,89955,145890,12163
2021,Isles of Scilly,E06000053,1730,213,119,272,88,341,655,42
2021,Wiltshire,E06000054,419114,60409,42756,62668,23327,76544,143201,10209
2021,Bedford,E06000055,148118,24813,15366,19977,8263,23976,51411,4312
2021,Central Bedfordshire,E06000056,236759,35598,24650,34892,14069,43107,78654,5789
2021,Northumberland,E06000057,268846,48173,26051,38873,18624,47690,82653,6782
2021,"Bournemouth, Christchurch and Poole",E06000058,334908,53317,33102,47335,20187,63771,107437,9759
2021,Dorset,E06000059,321902,50834,33549,48267,21943,56884,101298,9127
2021,Buckinghamshire,E06000060,443395,60981,39427,59473,21261,69811,181721,10721
2021,North Northamptonshire,E06000061,289186,57682,34404,44428,18199,48272,77281,8920
2021,West Northamptonshire,E06000062,343500,59804,37390,49213,19758,58081,109086,10168
2021,Bolton,E08000001,232287,52451,24792,32352,14327,38190,63678,6497
2021,Bury,E08000002,154873,28706,15069,22659,8605,25587,50036,4211
2021,Manchester,E08000003,437958,86110,34988,45164,15322,79621,164763,11990
2021,Oldham,E08000004,187035,46208,20672,26021,11939,30829,46023,5343
2021,Rochdale,E08000005,174947,40649,18414,24559,10564,29467,46238,5056
2021,Salford,E08000006,216923,42829,20027,27231,11687,36911,72678,5560
2021,Stockport,E08000007,238927,37081,21831,32340,13923,38563,89741,5448
2021,Tameside,E08000008,185135,40437,20811,28050,12776,32847,45214,5000
2021,Trafford,E08000009,186151,25990,15309,23608,8931,28141,79961,4211
2021,Wigan,E08000010,268694,56571,28257,41466,18997,47383,69357,6663
2021,Knowsley,E08000011,124299,32600,13203,17898,6817,21411,29578,2792
